




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (1226)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	0	28.93	-	 < 0.01	8.28E-13	1.31E-08
cellular process (GO:0009987)	15495	1024	922.40	+	1.11	9.76E-12	7.71E-08
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	26.25	-	 < 0.01	1.48E-11	7.78E-08
detection of chemical stimulus (GO:0009593)	522	2	31.07	-	.06	6.30E-11	2.49E-07
sensory perception of chemical stimulus (GO:0007606)	543	3	32.32	-	.09	1.77E-10	5.60E-07
detection of stimulus involved in sensory perception (GO:0050906)	557	4	33.16	-	.12	6.42E-10	1.69E-06
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	265	185.91	+	1.43	7.23E-09	1.63E-05
cellular component organization or biogenesis (GO:0071840)	6006	453	357.53	+	1.27	1.35E-08	2.13E-05
sensory perception of smell (GO:0007608)	468	3	27.86	-	.11	1.14E-08	2.25E-05
positive regulation of cellular process (GO:0048522)	5741	436	341.76	+	1.28	1.28E-08	2.25E-05
regulation of nitrogen compound metabolic process (GO:0051171)	5740	435	341.70	+	1.27	1.86E-08	2.67E-05
positive regulation of cellular metabolic process (GO:0031325)	3314	274	197.28	+	1.39	3.23E-08	4.26E-05
regulation of primary metabolic process (GO:0080090)	5925	444	352.71	+	1.26	5.23E-08	5.91E-05
cellular component organization (GO:0016043)	5783	435	344.26	+	1.26	5.04E-08	6.13E-05
adaptive immune response (GO:0002250)	658	10	39.17	-	.26	7.99E-08	8.43E-05
regulation of cellular metabolic process (GO:0031323)	6138	455	365.39	+	1.25	1.02E-07	1.01E-04
positive regulation of biological process (GO:0048518)	6331	467	376.88	+	1.24	1.10E-07	1.02E-04
positive regulation of metabolic process (GO:0009893)	3820	303	227.40	+	1.33	2.07E-07	1.81E-04
cellular macromolecule metabolic process (GO:0044260)	4909	373	292.23	+	1.28	3.59E-07	2.99E-04
regulation of protein metabolic process (GO:0051246)	2665	223	158.64	+	1.41	4.47E-07	3.54E-04
regulation of signaling (GO:0023051)	3545	282	211.03	+	1.34	5.77E-07	4.34E-04
positive regulation of macromolecule metabolic process (GO:0010604)	3522	280	209.66	+	1.34	6.62E-07	4.75E-04
regulation of signal transduction (GO:0009966)	3128	253	186.21	+	1.36	8.28E-07	5.69E-04
regulation of cell communication (GO:0010646)	3509	278	208.89	+	1.33	9.53E-07	6.27E-04
Unclassified (UNCLASSIFIED)	2744	107	163.35	-	.66	1.49E-06	9.07E-04
regulation of metabolic process (GO:0019222)	6874	492	409.20	+	1.20	1.64E-06	9.27E-04
regulation of macromolecule metabolic process (GO:0060255)	6340	459	377.41	+	1.22	1.59E-06	9.30E-04
biological_process (GO:0008150)	17851	1119	1062.65	+	1.05	1.49E-06	9.44E-04
regulation of cellular protein metabolic process (GO:0032268)	2501	208	148.88	+	1.40	1.74E-06	9.48E-04
sensory perception (GO:0007600)	979	26	58.28	-	.45	3.26E-06	1.72E-03
regulation of biological quality (GO:0065008)	3995	306	237.82	+	1.29	3.71E-06	1.89E-03
macromolecule metabolic process (GO:0043170)	6151	444	366.16	+	1.21	3.91E-06	1.93E-03
cellular protein metabolic process (GO:0044267)	3590	279	213.71	+	1.31	4.44E-06	2.13E-03
negative regulation of cellular process (GO:0048523)	4902	364	291.81	+	1.25	4.74E-06	2.20E-03
anatomical structure development (GO:0048856)	5330	391	317.29	+	1.23	5.31E-06	2.40E-03
cellular metabolic process (GO:0044237)	7542	529	448.97	+	1.18	5.57E-06	2.44E-03
